start,end
1747681542,1747681543
1747681542,1747681544
1747681542,1747681544
1747681551,1747681561
1747681552,1747681561
1747681554,1747681566
1747681554,1747681566
1747681554,1747681566
1747681554,1747681566
1747681554,1747681566
1747681554,1747681566
1747681554,1747681566
1747681554,1747681566
1747681542,1747681545
1747681554,1747681566
1747681554,1747681566
1747681554,1747681566
1747681555,1747681568
1747681555,1747681568
1747681555,1747681568
1747681555,1747681568
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681543,1747681547
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681556,1747681568
1747681551,1747681561
1747681542,1747681544
1747681552,1747681561
1747681552,1747681561
1747681553,1747681565
1747681552,1747681561
1747681552,1747681561
1747681552,1747681561
1747681552,1747681561
1747681552,1747681561
1747681552,1747681562
1747681552,1747681562
1747681543,1747681547
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681542,1747681544
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681542,1747681545
1747681552,1747681562
1747681551,1747681559
1747681551,1747681559
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681543,1747681547
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681543,1747681547
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681542,1747681543
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681542,1747681544
1747681542,1747681545
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681560
1747681551,1747681559
1747681552,1747681561
1747681552,1747681562
1747681552,1747681561
1747681552,1747681561
1747681542,1747681544
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681555,1747681567
1747681553,1747681565
1747681554,1747681565
1747681551,1747681561
1747681554,1747681566
1747681554,1747681566
1747681543,1747681547
1747681554,1747681566
1747681554,1747681566
1747681553,1747681564
1747681553,1747681565
1747681553,1747681565
1747681553,1747681565
1747681553,1747681565
1747681568,1747681590
1747681552,1747681561
1747681554,1747681565
1747681542,1747681545
1747681554,1747681565
1747681554,1747681565
1747681554,1747681565
1747681554,1747681565
1747681554,1747681565
1747681554,1747681565
1747681554,1747681565
1747681552,1747681561
1747681552,1747681561
1747681552,1747681561
1747681542,1747681545
1747681553,1747681565
1747681553,1747681565
1747681553,1747681565
1747681553,1747681565
1747681553,1747681565
1747681555,1747681567
1747681552,1747681562
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681542,1747681545
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681552,1747681562
1747681552,1747681562
1747681553,1747681564
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681543,1747681547
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681552,1747681562
1747681542,1747681545
1747681552,1747681562
1747681552,1747681562
1747681552,1747681563
1747681552,1747681562
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681542,1747681545
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681543,1747681547
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681552,1747681563
1747681553,1747681563
1747681542,1747681544
1747681543,1747681547
1747681553,1747681563
1747681553,1747681563
1747681553,1747681563
1747681553,1747681563
1747681553,1747681563
1747681553,1747681563
1747681553,1747681563
1747681553,1747681563
1747681553,1747681564
1747681553,1747681564
1747681543,1747681547
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681556,1747681568
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681543,1747681547
1747681553,1747681564
1747681553,1747681565
1747681553,1747681564
1747681554,1747681566
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681542,1747681545
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681553,1747681564
1747681552,1747681561
1747681552,1747681561
1747681552,1747681561
1747681553,1747681564
1747681553,1747681564
1747681551,1747681561
1747681542,1747681545
1747681552,1747681561
1747681552,1747681561
1747681552,1747681561
1747681552,1747681561
1747681553,1747681565
1747681553,1747681565
1747681553,1747681565
1747681554,1747681565
1747681553,1747681565
1747681554,1747681566
1747681543,1747681547
1747681554,1747681566
1747681553,1747681565
1747681555,1747681567
1747681555,1747681567
1747681555,1747681567
1747681555,1747681567
1747681555,1747681567
1747681555,1747681567
1747681555,1747681567
1747681556,1747681569
1747681543,1747681547
1747681556,1747681569
1747681556,1747681569
1747681556,1747681569
1747681556,1747681569
1747681556,1747681569
1747681557,1747681570
1747681557,1747681571
1747681558,1747681572
1747681558,1747681572
1747681558,1747681572
1747681543,1747681547
1747681558,1747681572
1747681560,1747681576
1747681560,1747681576
1747681560,1747681576
1747681560,1747681576
1747681560,1747681577
1747681560,1747681577
1747681560,1747681577
1747681560,1747681577
1747681560,1747681577
1747681543,1747681547
1747681560,1747681577
1747681560,1747681577
1747681560,1747681577
1747681560,1747681577
1747681561,1747681577
1747681561,1747681577
1747681561,1747681578
1747681561,1747681577
