time,job-without-dra,job-with-dra,job-with-resource-profiles
2025-04-25 10:00:00,0.0,0.31089870666970104,0.0
2025-04-25 10:00:10,7.226528302716106,10.018393197752125,11.151092044669952
2025-04-25 10:00:20,13.267576466981097,16.876219843808233,21.1570106622378
2025-04-25 10:00:30,11.725724707996559,23.318569084991275,32.22366155501786
2025-04-25 10:00:40,22.444498724444948,33.17883880128232,39.83360362953565
2025-04-25 10:00:50,23.644493825002332,36.39340785727778,47.668990821372326
2025-04-25 10:01:00,27.479296116530303,41.43769010172924,51.15344542254117
2025-04-25 10:01:10,34.55454561908452,43.19214162257835,55.1534669001757
2025-04-25 10:01:20,35.996133399193354,46.047579685328465,58.415954409540134
2025-04-25 10:01:30,34.22580530899541,44.859196645237134,59.90830366676531
2025-04-25 10:01:40,38.06304020069314,51.17686109420045,63.75735310007748
2025-04-25 10:01:50,38.90195154182838,52.541892322060576,69.80209744563811
2025-04-25 10:02:00,42.53288530814286,55.380139608671946,65.55150825973453
2025-04-25 10:02:10,40.76714695714235,57.67872600370605,71.12744865740324
2025-04-25 10:02:20,41.491316664988034,58.39498608735057,68.38739015009457
2025-04-25 10:02:30,43.22323033245187,61.996140386017395,70.73056809420048
2025-04-25 10:02:40,38.95033569243859,61.36791013049289,71.82921849660545
2025-04-25 10:02:50,42.20754197343319,62.15618661112646,73.29202216742192
2025-04-25 10:03:00,42.811980299607896,58.442897516462445,74.61753744879091
2025-04-25 10:03:10,43.93910154663511,59.0787237456222,72.7878487100385
2025-04-25 10:03:20,42.788783580632405,59.459528196316825,71.9117993298296
2025-04-25 10:03:30,42.41542748986302,59.134372839578596,76.52613922471856
2025-04-25 10:03:40,44.621123724770925,64.36328458368259,77.25985122367335
2025-04-25 10:03:50,41.74589311078926,63.35386170102202,78.0729329178667
2025-04-25 10:04:00,45.272175484329836,59.91024301361759,75.93864653474043
2025-04-25 10:04:10,46.390233769863684,62.793274621181524,74.57688103264553
2025-04-25 10:04:20,44.125573014833506,61.329891319220025,77.22590332480799
2025-04-25 10:04:30,46.36850576545626,60.20955137984981,79.14024456835833
2025-04-25 10:04:40,45.48234050459705,63.4700564709967,79.79970304649177
2025-04-25 10:04:50,40.566557177682256,61.62923146401789,79.41750708567565
2025-04-25 10:05:00,44.68565946739754,64.03643500971806,75.5601583700637
2025-04-25 10:05:10,45.31331514810279,61.77577109094087,76.02373387517824
2025-04-25 10:05:20,44.40181292216821,64.07414251060617,78.03057323200964
2025-04-25 10:05:30,45.90003053363401,64.8980084626453,78.9099262880874
2025-04-25 10:05:40,46.58103959159454,65.97797311340203,76.45556316799099
2025-04-25 10:05:50,49.17734382578844,63.110613282401566,76.49641215138062
2025-04-25 10:06:00,50.05300044181816,65.45248768025189,74.68792662201513
2025-04-25 10:06:10,46.36033825797298,64.44308727195383,74.16656639855519
2025-04-25 10:06:20,42.89020891345985,69.62132593603286,77.8644419679109
2025-04-25 10:06:30,48.603865012990376,61.914204148354415,76.62435224166158
2025-04-25 10:06:40,45.12284117032742,64.49626317854782,76.12516428327659
2025-04-25 10:06:50,45.9341597230148,66.76710415590459,78.06581708702033
2025-04-25 10:07:00,47.27907980640204,61.72931121108297,78.78223650978926
2025-04-25 10:07:10,50.03940316342641,64.68716432605825,75.98678224080973
2025-04-25 10:07:20,45.01014500112901,64.13615598000352,79.67498801120598
2025-04-25 10:07:30,44.87438440522892,64.5271861147455,77.38118002583806
